#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
60,Sun Jun 20 19:43:18 EDT 2021,54,0,SyncAnimation,AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars , ,AssertingBridgeSceneDynamics LockstepAvatars SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NoStarImports A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanExpressions A4SimplifyBooleanReturns ,33,5,true,SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation ,,,SyncArthurAnimation-(0.0/12.5) SyncGalahadAnimation-(0.0/12.5) SyncLancelotAnimation-(0.0/12.5) SyncRobinAnimation-(0.0/12.5) ,,
61,Sun Jun 20 19:46:28 EDT 2021,56,2,A4Style,A4NoStarImports+ AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited+ A4CommonSignaturesAreInherited+ A4Encapsulation+ A4InterfaceAsType+ A4MnemonicNames+ A4NamedConstants+ A4NamingConventions+ A4NoHiddenFields+ A4NonPublicAccessModifiersMatched+ A4PackageDeclarations+ A4PublicMethodsOverride+ A4SimplifyBooleanReturns+ ,A4SimplifyBooleanExpressions+ AssertingBridgeSceneDynamics LockstepAvatars SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,33,6,true,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NoStarImports A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanExpressions A4SimplifyBooleanReturns ,AssertingBridgeSceneDynamics ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4NonPublicAccessModifiersMatched ,A4CommonPropertiesAreInherited-(0.6/2.0) A4CommonSignaturesAreInherited-(0.3/2.0) A4Encapsulation-(1.2/3.0) A4InterfaceAsType-(2.8/7.0) A4MnemonicNames-(1.7/5.0) A4NamedConstants-(1.1/3.0) A4NamingConventions-(0.8/2.0) A4NoHiddenFields-(0.4/1.0) A4NoStarImports-(1.0/1.0) A4NonPublicAccessModifiersMatched-(2.0/5.0) A4PackageDeclarations-(0.8/2.0) A4PublicMethodsOverride-(1.7/5.0) A4SimplifyBooleanExpressions-(0.0/1.0) A4SimplifyBooleanReturns-(0.4/1.0) ,,
62,Sun Jun 20 20:56:40 EDT 2021,56,0,AsyncAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions AssertingBridgeSceneDynamics LockstepAvatars SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,34,0,true,AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation ,,,AsyncArthurAnimation-(12.5/12.5) AsyncGalahadAnimation-(12.5/12.5) AsyncLancelotAnimation-(12.5/12.5) AsyncRobinAnimation-(12.5/12.5) ,,
63,Sun Jun 20 20:57:00 EDT 2021,58,2,CoordinatedAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars+ SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,34,1,true,BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory LockstepAvatars WaitingAvatars ,,,BroadcastingClearanceManagerFactoryMethodDefined-(2.0/2.0) BroadcastingClearanceManagerSingletonFromFactory-(2.0/2.0) LockstepAvatars-(30.0/30.0) WaitingAvatars-(30.0/30.0) ,,
64,Sun Jun 20 20:58:15 EDT 2021,58,0,CoordinatedAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,0,true,BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory LockstepAvatars WaitingAvatars ,,,BroadcastingClearanceManagerFactoryMethodDefined-(2.0/2.0) BroadcastingClearanceManagerSingletonFromFactory-(2.0/2.0) LockstepAvatars-(30.0/30.0) WaitingAvatars-(30.0/30.0) ,,
65,Sun Jun 20 20:58:16 EDT 2021,58,0,SceneControllerButtons,A4NoStarImports AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,1,true,BridgeSceneSingletonFromFactory SceneControllerApproachButtonProperty SceneControllerButtonDynamics SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAPropertyChangeListener SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerRegistersAsPropertyChangeListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory ,TaggedLocatable ,,BridgeSceneSingletonFromFactory-(2.0/2.0) SceneControllerApproachButtonProperty-(2.0/2.0) SceneControllerButtonDynamics-(0.0/24.0) SceneControllerCallsApproach-(2.0/2.0) SceneControllerCallsFailed-(2.0/2.0) SceneControllerCallsPassed-(2.0/2.0) SceneControllerCallsSay-(2.0/2.0) SceneControllerCallsSetEnabled-(2.0/2.0) SceneControllerISAPropertyChangeListener-(0.0/2.0) SceneControllerISAnActionListener-(2.0/2.0) SceneControllerPassedButtonProperty-(2.0/2.0) SceneControllerRegistersAsActionListener-(2.0/2.0) SceneControllerRegistersAsPropertyChangeListener-(0.0/2.0) SceneControllerSayButtonProperty-(2.0/2.0) SceneControllerSingletonFromFactory-(2.0/2.0) ,,
66,Sun Jun 20 20:58:20 EDT 2021,58,0,AssertingBridgeSceneDynamics,A4NoStarImports AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,2,false,,,,AssertingBridgeSceneDynamics-(0.0/50.0) ,,
67,Sun Jun 20 20:58:22 EDT 2021,56,-2,Exceptions,A4NoStarImports AbstractBoundedShape AbstractLocatable AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist- AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,3,true,ArthurIsNotAContortionist CheckedImpossibleAngle TaggedImpossibleAngle TaggedLegs TaggedRestrictedLine ,,ArthurIsNotAContortionist ,ArthurIsNotAContortionist-(0.0/10.0) CheckedImpossibleAngle-(5.0/5.0) TaggedImpossibleAngle-(0.0/0.0) TaggedLegs-(0.0/0.0) TaggedRestrictedLine-(0.0/0.0) ,,
68,Sun Jun 20 20:58:37 EDT 2021,56,0,AbstractClasses,A4NoStarImports AbstractBoundedShape AbstractLocatable AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,4,true,AbstractBoundedShape AbstractLocatable TaggedBoundedShape TaggedLocatable ,,,AbstractBoundedShape-(3.0/3.0) AbstractLocatable-(3.0/3.0) TaggedBoundedShape-(0.0/0.0) TaggedLocatable-(0.0/0.0) ,,
69,Sun Jun 20 20:58:46 EDT 2021,54,-2,A4Style,A4NoStarImports AbstractBoundedShape AbstractLocatable AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist AssertingBridgeSceneDynamics AsyncArthurAnimation- SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,5,true,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NoStarImports A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanExpressions A4SimplifyBooleanReturns ,AsyncArthurAnimation SyncArthurAnimation ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4NonPublicAccessModifiersMatched ,A4CommonPropertiesAreInherited-(0.6/2.0) A4CommonSignaturesAreInherited-(0.3/2.0) A4Encapsulation-(1.2/3.0) A4InterfaceAsType-(2.8/7.0) A4MnemonicNames-(1.7/5.0) A4NamedConstants-(1.1/3.0) A4NamingConventions-(0.8/2.0) A4NoHiddenFields-(0.4/1.0) A4NoStarImports-(1.0/1.0) A4NonPublicAccessModifiersMatched-(2.0/5.0) A4PackageDeclarations-(0.8/2.0) A4PublicMethodsOverride-(1.7/5.0) A4SimplifyBooleanExpressions-(0.0/1.0) A4SimplifyBooleanReturns-(0.4/1.0) ,,
70,Sun Jun 20 20:58:56 EDT 2021,49,-5,AsyncAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist AssertingBridgeSceneDynamics AsyncArthurAnimation AsyncGalahadAnimation- AsyncLancelotAnimation- AsyncRobinAnimation- SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,35,6,true,AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation ,,,AsyncArthurAnimation-(0.0/12.5) AsyncGalahadAnimation-(0.0/12.5) AsyncLancelotAnimation-(0.0/12.5) AsyncRobinAnimation-(0.0/12.5) ,,
71,Sun Jun 20 21:03:24 EDT 2021,56,7,AsyncAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable AsyncArthurAnimation+ AsyncGalahadAnimation+ AsyncLancelotAnimation+ AsyncRobinAnimation+ BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,36,0,true,AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation ,,,AsyncArthurAnimation-(12.5/12.5) AsyncGalahadAnimation-(12.5/12.5) AsyncLancelotAnimation-(12.5/12.5) AsyncRobinAnimation-(12.5/12.5) ,,
72,Sun Jun 20 21:03:33 EDT 2021,56,0,SyncAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,36,1,true,SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation ,,,SyncArthurAnimation-(0.0/12.5) SyncGalahadAnimation-(0.0/12.5) SyncLancelotAnimation-(0.0/12.5) SyncRobinAnimation-(0.0/12.5) ,,
73,Sun Jun 20 21:04:00 EDT 2021,56,0,CoordinatedAnimation,A4NoStarImports AbstractBoundedShape AbstractLocatable AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions ArthurIsNotAContortionist AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,36,2,true,BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory LockstepAvatars WaitingAvatars ,,,BroadcastingClearanceManagerFactoryMethodDefined-(2.0/2.0) BroadcastingClearanceManagerSingletonFromFactory-(2.0/2.0) LockstepAvatars-(30.0/30.0) WaitingAvatars-(30.0/30.0) ,,
74,Sun Jun 20 21:04:06 EDT 2021,58,2,Exceptions,A4NoStarImports AbstractBoundedShape AbstractLocatable ArthurIsNotAContortionist+ AsyncArthurAnimation AsyncGalahadAnimation AsyncLancelotAnimation AsyncRobinAnimation BridgeSceneSingletonFromFactory BroadcastingClearanceManagerFactoryMethodDefined BroadcastingClearanceManagerSingletonFromFactory CheckedImpossibleAngle LockstepAvatars SceneControllerApproachButtonProperty SceneControllerCallsApproach SceneControllerCallsFailed SceneControllerCallsPassed SceneControllerCallsSay SceneControllerCallsSetEnabled SceneControllerISAnActionListener SceneControllerPassedButtonProperty SceneControllerRegistersAsActionListener SceneControllerSayButtonProperty SceneControllerSingletonFromFactory TaggedBoundedShape TaggedImpossibleAngle TaggedLegs TaggedLocatable TaggedRestrictedLine WaitingAvatars ,A4CommonPropertiesAreInherited A4CommonSignaturesAreInherited A4Encapsulation A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NamingConventions A4NoHiddenFields A4NonPublicAccessModifiersMatched A4PackageDeclarations A4PublicMethodsOverride A4SimplifyBooleanReturns ,A4SimplifyBooleanExpressions AssertingBridgeSceneDynamics SceneControllerButtonDynamics SceneControllerISAPropertyChangeListener SceneControllerRegistersAsPropertyChangeListener SyncArthurAnimation SyncGalahadAnimation SyncLancelotAnimation SyncRobinAnimation , ,36,3,true,ArthurIsNotAContortionist CheckedImpossibleAngle TaggedImpossibleAngle TaggedLegs TaggedRestrictedLine ,BridgeSceneSingletonFromFactory ,ArthurIsNotAContortionist ,ArthurIsNotAContortionist-(10.0/10.0) CheckedImpossibleAngle-(5.0/5.0) TaggedImpossibleAngle-(0.0/0.0) TaggedLegs-(0.0/0.0) TaggedRestrictedLine-(0.0/0.0) ,,
