Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArms,get:arms
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getLegs,get:legs
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,stringPainter,string:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getStringShape,get:string:shape
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,propertyChange,property:change,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.ObservableBridgeScene,observable:bridge:scene,@Comp301Tags.OBSERVABLE_BRIDGE_SCENE_PAINTER,comp:tags:observable:bridge:scene:painter,repaint,repaint
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,imagePainter,image:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.Avatars,avatars,@Comp301Tags.AVATAR,comp:tags:avatar,getHead,get:head
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,imagePainter,image:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$javax.imageio.ImageIO,image:io,javax.imageio.ImageIO,image:io,read,read
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,imagePainter,image:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,java.io.File,file,java.io.File,file,File,file
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,imagePainter,image:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,java.awt.Graphics,graphics,java.awt.Graphics,graphics,drawImage,draw:image
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,java.awt.Graphics,graphics,java.awt.Graphics,graphics,drawLine,draw:line
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$grail.geometryFigs.MovingL,moving,@Comp301Tags.ROTATING_LINE,comp:tags:rotating:line,getX,get:x
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$grail.geometryFigs.MovingL,moving,@Comp301Tags.ROTATING_LINE,comp:tags:rotating:line,getY,get:y
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$grail.geometryFigs.MovingL,moving,@Comp301Tags.ROTATING_LINE,comp:tags:rotating:line,getX,get:x
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$grail.geometryFigs.MovingL,moving,@Comp301Tags.ROTATING_LINE,comp:tags:rotating:line,getWidth,get:width
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$grail.geometryFigs.MovingL,moving,@Comp301Tags.ROTATING_LINE,comp:tags:rotating:line,getY,get:y
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,$grail.geometryFigs.MovingL,moving,@Comp301Tags.ROTATING_LINE,comp:tags:rotating:line,getHeight,get:height
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,stringPainter,string:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,java.awt.Graphics,graphics,java.awt.Graphics,graphics,drawString,draw:string
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.AngleShapes,angle:shapes,@Comp301Tags.ANGLE,comp:tags:angle,getLeftLine,get:left:line
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.AngleShapes,angle:shapes,@Comp301Tags.ANGLE,comp:tags:angle,getRightLine,get:right:line
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.AngleShapes,angle:shapes,@Comp301Tags.ANGLE,comp:tags:angle,getLeftLine,get:left:line
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,limbsPainter,limbs:painter,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.AngleShapes,angle:shapes,@Comp301Tags.ANGLE,comp:tags:angle,getRightLine,get:right:line
grail.compositeFigs.MontyAvatar,monty:avatar,@Comp301Tags.AVATAR,comp:tags:avatar,armLegMiniFact,arm:leg:mini:fact,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar,grail.compositeFigs.ArmsAndLegs,arms:and:legs,@Comp301Tags.ANGLE,comp:tags:angle,ArmsAndLegs,arms:and:legs
grail.compositeFigs.MontyAvatar,monty:avatar,@Comp301Tags.AVATAR,comp:tags:avatar,armLegMiniFact,arm:leg:mini:fact,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar,grail.compositeFigs.BridgeSceneFactory,bridge:scene:factory,@Comp301Tags.FACTORY_CLASS,comp:tags:factory:class,legsFactoryMethod,legs:factory:method
grail.compositeFigs.MontyAvatar,monty:avatar,@Comp301Tags.AVATAR,comp:tags:avatar,combineFigs,combine:figs,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar,grail.compositeFigs.AngleShapes,angle:shapes,@Comp301Tags.ANGLE,comp:tags:angle,setX,set:x
grail.compositeFigs.MontyAvatar,monty:avatar,@Comp301Tags.AVATAR,comp:tags:avatar,combineFigs,combine:figs,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener:@Comp301Tags.AVATAR,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener:comp:tags:avatar,grail.compositeFigs.AngleShapes,angle:shapes,@Comp301Tags.ANGLE,comp:tags:angle,getLeftLine,get:left:line
